"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 18 04:25:27 UTC 2024","Fri Oct 18 04:25:27 UTC 2024","2","firefox","","","","","Prueba login stage",""
"passed","Fri Oct 18 04:25:27 UTC 2024","Fri Oct 18 04:25:35 UTC 2024","8357","firefox","","","","","entra age",""
"skipped","Fri Oct 18 04:25:36 UTC 2024","Fri Oct 18 04:25:36 UTC 2024","0","firefox","","","","","pruebagoogle",""
"skipped","Fri Oct 18 04:25:36 UTC 2024","Fri Oct 18 04:25:36 UTC 2024","0","firefox","","","","","Busca producto y da clic",""
